date,close,open,high,low
15/02/2022,0.906,0.906,0.906,0.906
14/02/2022,0.899,0.899,0.899,0.899
11/02/2022,0.894,0.894,0.894,0.894
10/02/2022,0.894,0.894,0.894,0.894
09/02/2022,0.873,0.873,0.873,0.873
08/02/2022,0.804,0.804,0.804,0.804
07/02/2022,0.797,0.814,0.814,0.797
04/02/2022,0.703,0.703,0.703,0.703
03/02/2022,0.703,0.703,0.703,0.703
02/02/2022,0.703,0.703,0.703,0.703
01/02/2022,0.703,0.703,0.703,0.703
31/01/2022,0.703,0.703,0.703,0.703
28/01/2022,0.803,0.803,0.803,0.803
27/01/2022,0.793,0.793,0.793,0.793
26/01/2022,0.789,0.789,0.789,0.789
25/01/2022,0.783,0.783,0.783,0.783
24/01/2022,0.775,0.775,0.775,0.775
21/01/2022,0.792,0.792,0.792,0.792
20/01/2022,0.791,0.791,0.791,0.791
19/01/2022,0.793,0.793,0.793,0.793
18/01/2022,0.805,0.805,0.805,0.805
17/01/2022,0.855,0.855,0.855,0.855
14/01/2022,0.855,0.855,0.855,0.855
13/01/2022,0.86,0.86,0.86,0.86
12/01/2022,0.87,0.87,0.87,0.87
11/01/2022,0.866,0.866,0.866,0.866
10/01/2022,0.838,0.838,0.838,0.838
07/01/2022,0.841,0.841,0.841,0.841
06/01/2022,0.851,0.851,0.851,0.851
05/01/2022,0.851,0.851,0.851,0.851
04/01/2022,0.826,0.826,0.826,0.826
03/01/2022,0.726,0.726,0.726,0.726
31/12/2021,0.826,0.826,0.826,0.826
30/12/2021,0.827,0.827,0.827,0.827
29/12/2021,0.827,0.827,0.827,0.827
28/12/2021,0.819,0.819,0.819,0.819
27/12/2021,0.819,0.819,0.819,0.819
24/12/2021,0.811,0.811,0.811,0.811
23/12/2021,0.811,0.811,0.811,0.811
22/12/2021,0.803,0.803,0.803,0.803
21/12/2021,0.795,0.795,0.795,0.795
20/12/2021,0.786,0.786,0.786,0.786
17/12/2021,0.786,0.786,0.786,0.786
16/12/2021,0.779,0.779,0.779,0.779
15/12/2021,0.779,0.779,0.779,0.779
14/12/2021,0.779,0.779,0.779,0.779
13/12/2021,0.779,0.779,0.779,0.779
10/12/2021,0.779,0.779,0.779,0.779
09/12/2021,0.779,0.779,0.779,0.779
08/12/2021,0.787,0.787,0.787,0.787
07/12/2021,0.786,0.786,0.786,0.786
06/12/2021,0.783,0.783,0.783,0.783
03/12/2021,0.788,0.788,0.788,0.788
02/12/2021,0.788,0.788,0.788,0.788
01/12/2021,0.797,0.797,0.797,0.797
30/11/2021,0.797,0.797,0.797,0.797
29/11/2021,0.797,0.797,0.797,0.797
26/11/2021,0.783,0.799,0.799,0.783
25/11/2021,0.783,0.783,0.783,0.783
24/11/2021,0.78,0.78,0.78,0.78
23/11/2021,0.78,0.78,0.78,0.78
22/11/2021,0.772,0.772,0.772,0.772
19/11/2021,0.768,0.768,0.768,0.768
18/11/2021,0.764,0.765,0.765,0.764
17/11/2021,0.761,0.761,0.761,0.761
16/11/2021,0.763,0.763,0.763,0.763
15/11/2021,0.763,0.763,0.763,0.763
12/11/2021,0.767,0.767,0.767,0.767
11/11/2021,0.768,0.768,0.768,0.768
10/11/2021,0.748,0.748,0.748,0.748
09/11/2021,0.767,0.767,0.767,0.767
08/11/2021,0.768,0.768,0.768,0.768
05/11/2021,0.767,0.767,0.767,0.767
04/11/2021,0.79,0.79,0.79,0.79
03/11/2021,0.778,0.778,0.778,0.778
02/11/2021,0.794,0.794,0.794,0.794
01/11/2021,0.795,0.798,0.798,0.795
29/10/2021,0.774,0.774,0.774,0.774
28/10/2021,0.784,0.784,0.784,0.784
27/10/2021,0.776,0.776,0.776,0.776
26/10/2021,0.78,0.78,0.78,0.78
25/10/2021,0.787,0.787,0.787,0.787
22/10/2021,0.813,0.813,0.813,0.813
21/10/2021,0.837,0.837,0.837,0.837
20/10/2021,0.827,0.827,0.827,0.827
19/10/2021,0.822,0.822,0.822,0.822
18/10/2021,0.821,0.821,0.821,0.821
15/10/2021,0.844,0.844,0.844,0.844
14/10/2021,0.849,0.849,0.849,0.849
13/10/2021,0.852,0.852,0.852,0.852
12/10/2021,0.864,0.864,0.864,0.864
11/10/2021,0.871,0.871,0.871,0.871
08/10/2021,0.887,0.887,0.887,0.887
07/10/2021,0.87,0.87,0.87,0.87
06/10/2021,0.912,0.912,0.912,0.912
05/10/2021,0.892,0.892,0.892,0.892
04/10/2021,0.916,0.916,0.916,0.916
03/10/2021,0.793,0.793,0.793,0.793
01/10/2021,0.893,0.928,0.928,0.893
30/09/2021,0.888,0.888,0.888,0.888
29/09/2021,0.896,0.896,0.896,0.896
28/09/2021,0.851,0.851,0.851,0.851
27/09/2021,0.862,0.862,0.862,0.862
24/09/2021,0.861,0.861,0.861,0.861
23/09/2021,0.834,0.834,0.834,0.834
22/09/2021,0.837,0.837,0.837,0.837
21/09/2021,0.77,0.77,0.77,0.77
20/09/2021,0.756,0.756,0.756,0.756
17/09/2021,0.742,0.742,0.742,0.742
16/09/2021,0.748,0.761,0.761,0.741
15/09/2021,0.742,0.761,0.761,0.742
14/09/2021,0.773,0.732,0.773,0.732
13/09/2021,0.732,0.732,0.732,0.732
10/09/2021,0.764,0.764,0.764,0.764
09/09/2021,0.76,0.76,0.76,0.76
08/09/2021,0.765,0.765,0.765,0.765
07/09/2021,0.741,0.711,0.741,0.711
06/09/2021,0.706,0.736,0.736,0.706
